,id,authors,title,tags,doc_type,publisher,venue_name,venue_ID,references
54,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,1592800357.0
55,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,1846370229.0
56,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,2018543616.0
57,13070,"Efthymios Alepis,Maria Virvou,Katerina Kabassi",Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,"Decision-making models,Computer science,Emotion recognition,Mobile device,Human–computer interaction,Knowledge engineering,Affect (psychology),Multimedia,Microphone,Modal",Conference,IOS Press,Joint Conference on Knowledge-Based Software Engineering,1153467564.0,2069911788.0
58,13205,"Milos Zelezný,Petr Císar,Zdenek Krnoul,Jan Novák",Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,"Speech corpus,Czech,Speech synthesis,Computer science,Speech recognition,VoxForge,Speech technology",Conference,,Conference of the International Speech Communication Association,1177287137.0,86048793.0
59,13205,"Milos Zelezný,Petr Císar,Zdenek Krnoul,Jan Novák",Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,"Speech corpus,Czech,Speech synthesis,Computer science,Speech recognition,VoxForge,Speech technology",Conference,,Conference of the International Speech Communication Association,1177287137.0,1584320209.0
60,13205,"Milos Zelezný,Petr Císar,Zdenek Krnoul,Jan Novák",Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,"Speech corpus,Czech,Speech synthesis,Computer science,Speech recognition,VoxForge,Speech technology",Conference,,Conference of the International Speech Communication Association,1177287137.0,1921940208.0
61,13205,"Milos Zelezný,Petr Císar,Zdenek Krnoul,Jan Novák",Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,"Speech corpus,Czech,Speech synthesis,Computer science,Speech recognition,VoxForge,Speech technology",Conference,,Conference of the International Speech Communication Association,1177287137.0,2096518980.0
62,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,1557922759.0
63,13407,"Abdullah Alsubaie,Antonio Di Pietro,José R. Martí,Pranab Kini,Ting Fu Lin,Simone Palmieri,Alberto Tofani",A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Interdependence,Systems engineering,Planning process,Power grid,SCADA,Engineering",Conference,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection,2755952065.0,1964807813.0
